name,listed,games
SiteCie,true,
Board,false,
Member's initiative,false,
4FunCie,true,
LegaCie,true,CHESS WORDLE
MCie,true,MINECRAFT
NintenCo,true,SMASH POKEMON
PRCie,true,
DegeneraCie,true,
KickCie,true,
CircuitCie,true,ROCKET_LEAGUE VALORANT LEAGUE_OF_LEGENDS CS2
LanCie,true,CS2 VALORANT
YapCie,true,
One-Of-Committee (Member's Iniative),false,
