game,banner
VALORANT,valorant-banner
CS2,cs2-1
LEAGUE_OF_LEGENDS,lol-1
ROCKET_LEAGUE,rocket-league-1
GEOGUESSR,geoguessr-2
TRACKMANIA,trackmania-1
CSGO,csgo-2
SMASH,smash-1
TEAMFIGHT_TACTICS,teamfight-tactics-1
MINECRAFT,minecraft-1
POKEMON,pokemon-1
HERO_SHOOTERS,hero-shooters-1
DOTA_2,dota-2-1
OVERWATCH,overwatch-1
