game,icon
VALORANT,valorant-icon
CS2,cs2-icon
LEAGUE_OF_LEGENDS,league-icon
ROCKET_LEAGUE,rocket-league-icon
GEOGUESSR,geoguessr-icon
TRACKMANIA,trackmania-icon
CSGO,csgo-icon
SMASH,smash-icon
