name,start_date,end_date
Autumn 2020,2020-09-01,2021-01-31
Spring 2021,2021-02-01,2021-08-31
Autumn 2021,2021-09-01,2022-01-31
Spring 2022,2022-02-01,2022-08-31
Autumn 2022,2022-09-01,2023-01-31
Spring 2023,2023-02-01,2023-08-31
Autumn 2023,2023-09-01,2024-01-31
Spring 2024,2024-02-01,2024-08-31
Autumn 2024,2024-09-01,2025-01-31
Spring 2025,2025-02-01,2025-08-31
Autumn 2025,2025-09-01,2026-01-31
Spring 2026,2026-02-01,2026-08-31
